onset	duration	trial_type	response_time	task_type	response_type	trial_id	run_id	block_id	word_id	img_id	design_onset	grate_orientation
2.023	2.000	face	2.160	localizer	weak related	1	2	1	19	19	2.0	n/a
6.023	2.000	face	1.656	localizer	weak unrelated	2	2	1	20	20	6.0	n/a
10.023	2.000	face	1.177	localizer	strong unrelated	3	2	1	21	21	10.0	n/a
14.022	2.000	face	1.345	localizer	strong unrelated	4	2	1	22	22	14.0	n/a
18.022	2.000	face	1.633	localizer	weak unrelated	5	2	1	23	23	18.0	n/a
22.021	2.000	face	1.370	localizer	weak unrelated	6	2	1	24	24	22.0	n/a
26.060	0.511	correct	0.511	grate	n/a	6	2	n/a	n/a	n/a	n/a	left
27.090	0.465	correct	0.465	grate	n/a	6	2	n/a	n/a	n/a	n/a	right
28.072	0.395	correct	0.395	grate	n/a	6	2	n/a	n/a	n/a	n/a	right
28.988	0.383	correct	0.383	grate	n/a	6	2	n/a	n/a	n/a	n/a	left
29.888	0.491	correct	0.491	grate	n/a	6	2	n/a	n/a	n/a	n/a	left
30.888	0.482	correct	0.482	grate	n/a	6	2	n/a	n/a	n/a	n/a	left
31.888	0.515	correct	0.515	grate	n/a	6	2	n/a	n/a	n/a	n/a	right
32.921	0.601	correct	0.601	grate	n/a	6	2	n/a	n/a	n/a	n/a	right
34.038	1.565	correct	1.565	grate	n/a	6	2	n/a	n/a	n/a	n/a	left
36.121	0.434	incorrect	0.434	grate	n/a	6	2	n/a	n/a	n/a	n/a	right
38.020	2.000	object	3.403	localizer	weak related	7	2	2	91	119	38.0	n/a
42.019	2.000	object	1.707	localizer	weak unrelated	8	2	2	92	120	42.0	n/a
46.019	2.000	object	1.707	localizer	strong unrelated	9	2	2	93	121	46.0	n/a
50.018	2.000	object	1.875	localizer	strong unrelated	10	2	2	94	122	50.0	n/a
54.018	2.000	object	1.179	localizer	strong unrelated	11	2	2	95	123	54.0	n/a
58.018	2.000	object	1.243	localizer	strong unrelated	12	2	2	96	124	58.0	n/a
62.056	0.489	correct	0.489	grate	n/a	12	2	n/a	n/a	n/a	n/a	right
63.068	0.413	correct	0.413	grate	n/a	12	2	n/a	n/a	n/a	n/a	right
64.001	0.616	correct	0.616	grate	n/a	12	2	n/a	n/a	n/a	n/a	left
65.135	0.746	correct	0.746	grate	n/a	12	2	n/a	n/a	n/a	n/a	left
66.401	0.504	correct	0.504	grate	n/a	12	2	n/a	n/a	n/a	n/a	right
67.418	0.487	correct	0.487	grate	n/a	12	2	n/a	n/a	n/a	n/a	right
68.418	0.448	correct	0.448	grate	n/a	12	2	n/a	n/a	n/a	n/a	right
69.384	0.361	correct	0.361	grate	n/a	12	2	n/a	n/a	n/a	n/a	right
70.267	1.021	correct	1.021	grate	n/a	12	2	n/a	n/a	n/a	n/a	right
71.801	0.536	correct	0.536	grate	n/a	12	2	n/a	n/a	n/a	n/a	left
72.851	0.100	incorrect	0.100	grate	n/a	12	2	n/a	n/a	n/a	n/a	left
74.016	2.000	scene	2.205	localizer	weak unrelated	13	2	3	163	219	74.0	n/a
78.016	2.000	scene	1.653	localizer	weak unrelated	14	2	3	164	220	78.0	n/a
82.015	2.000	scene	1.325	localizer	weak unrelated	15	2	3	165	221	82.0	n/a
86.015	2.000	scene	1.174	localizer	weak unrelated	16	2	3	166	222	86.0	n/a
90.014	2.000	scene	1.134	localizer	weak related	17	2	3	167	223	90.0	n/a
94.014	2.000	scene	1.326	localizer	strong unrelated	18	2	3	168	224	94.0	n/a
98.053	0.627	correct	0.627	grate	n/a	18	2	n/a	n/a	n/a	n/a	left
99.199	0.377	correct	0.377	grate	n/a	18	2	n/a	n/a	n/a	n/a	left
100.098	0.398	correct	0.398	grate	n/a	18	2	n/a	n/a	n/a	n/a	left
101.014	0.361	correct	0.361	grate	n/a	18	2	n/a	n/a	n/a	n/a	left
101.898	0.406	correct	0.406	grate	n/a	18	2	n/a	n/a	n/a	n/a	left
102.814	0.585	correct	0.585	grate	n/a	18	2	n/a	n/a	n/a	n/a	right
103.914	0.926	correct	0.926	grate	n/a	18	2	n/a	n/a	n/a	n/a	left
105.347	0.500	correct	0.500	grate	n/a	18	2	n/a	n/a	n/a	n/a	left
106.364	0.515	correct	0.515	grate	n/a	18	2	n/a	n/a	n/a	n/a	right
107.397	0.442	correct	0.442	grate	n/a	18	2	n/a	n/a	n/a	n/a	right
108.347	0.200	incorrect	0.200	grate	n/a	18	2	n/a	n/a	n/a	n/a	right
110.012	2.000	object	1.431	localizer	weak related	19	2	4	97	125	110.0	n/a
114.012	2.000	object	1.279	localizer	weak unrelated	20	2	4	98	126	114.0	n/a
118.012	2.000	object	2.375	localizer	weak unrelated	21	2	4	99	127	118.0	n/a
122.011	2.000	object	1.183	localizer	weak related	22	2	4	100	128	122.0	n/a
126.011	2.000	object	1.296	localizer	weak related	23	2	4	101	129	126.0	n/a
130.010	2.000	object	1.409	localizer	weak unrelated	24	2	4	102	130	130.0	n/a
134.049	0.565	correct	0.565	grate	n/a	24	2	n/a	n/a	n/a	n/a	left
135.128	0.374	correct	0.374	grate	n/a	24	2	n/a	n/a	n/a	n/a	left
136.011	0.523	correct	0.523	grate	n/a	24	2	n/a	n/a	n/a	n/a	right
137.044	0.378	correct	0.378	grate	n/a	24	2	n/a	n/a	n/a	n/a	right
137.944	0.406	correct	0.406	grate	n/a	24	2	n/a	n/a	n/a	n/a	right
138.860	0.505	correct	0.505	grate	n/a	24	2	n/a	n/a	n/a	n/a	left
139.877	0.425	correct	0.425	grate	n/a	24	2	n/a	n/a	n/a	n/a	left
140.810	0.924	correct	0.924	grate	n/a	24	2	n/a	n/a	n/a	n/a	right
142.243	0.724	correct	0.724	grate	n/a	24	2	n/a	n/a	n/a	n/a	left
143.477	0.433	correct	0.433	grate	n/a	24	2	n/a	n/a	n/a	n/a	right
144.427	0.117	incorrect	0.117	grate	n/a	24	2	n/a	n/a	n/a	n/a	right
146.009	2.000	scene	3.081	localizer	strong unrelated	25	2	5	169	225	146.0	n/a
150.008	2.000	scene	1.689	localizer	weak unrelated	26	2	5	170	226	150.0	n/a
154.008	2.000	scene	3.377	localizer	weak unrelated	27	2	5	171	227	154.0	n/a
158.008	2.000	scene	1.770	localizer	weak related	28	2	5	172	228	158.0	n/a
162.007	2.000	scene	1.666	localizer	weak unrelated	29	2	5	173	229	162.0	n/a
166.023	2.000	scene	0.889	localizer	weak unrelated	30	2	5	174	230	166.0	n/a
170.063	0.911	correct	0.911	grate	n/a	30	2	n/a	n/a	n/a	n/a	left
171.491	0.426	incorrect	0.426	grate	n/a	30	2	n/a	n/a	n/a	n/a	right
172.423	0.421	correct	0.421	grate	n/a	30	2	n/a	n/a	n/a	n/a	right
173.357	0.432	correct	0.432	grate	n/a	30	2	n/a	n/a	n/a	n/a	right
174.307	0.530	correct	0.530	grate	n/a	30	2	n/a	n/a	n/a	n/a	left
