onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.009	2.000	remember	0.422	updating	retprac	1	face	scene	object	target	face	target	remember	1	5	113	41	89	217	1.000	2
5.658	2.000	forget	0.628	updating	retprac	1	face	scene	object	competitor	scene	target	remember	2	5	115	43	91	219	5.649	5
11.074	2.000	remember	0.452	updating	restudy	1	scene	object	face	target	scene	competitor	forget	3	5	90	138	290	142	11.063	13
15.974	2.000	forget	0.344	updating	retprac	1	scene	object	face	other	face	other	forget	4	5	89	137	289	141	15.948	8
22.623	2.000	remember	0.391	updating	restudy	1	scene	face	object	target	scene	competitor	forget	5	5	42	114	266	42	22.600	24
32.255	2.000	forget	0.390	updating	retprac	1	object	face	scene	competitor	face	target	remember	6	5	17	65	165	17	32.243	9
40.738	2.000	forget	0.435	updating	retprac	1	scene	object	face	competitor	object	target	remember	7	5	91	139	291	143	40.727	1
49.887	2.000	remember	0.845	updating	restudy	1	object	scene	face	target	object	competitor	forget	8	5	140	92	192	244	49.876	23
55.070	2.000	remember	0.271	updating	restudy	1	face	scene	object	target	face	target	remember	9	5	114	42	90	218	55.051	17
60.069	2.000	remember	0.303	updating	retprac	1	object	scene	face	target	object	target	remember	10	5	139	91	191	243	60.057	3
69.768	2.000	remember	0.299	updating	restudy	1	face	object	scene	target	face	target	remember	11	5	66	18	66	118	69.745	19
74.334	2.000	remember	0.453	updating	retprac	1	object	scene	face	target	object	competitor	forget	12	5	137	89	189	241	74.317	10
84.267	2.000	remember	0.336	updating	restudy	1	scene	face	object	target	scene	competitor	forget	13	5	44	116	268	44	84.250	22
88.850	2.000	remember	0.361	updating	restudy	1	face	object	scene	target	face	target	remember	14	5	68	20	68	120	88.837	21
94.216	2.000	remember	0.539	updating	retprac	2	face	scene	object	target	face	target	remember	15	5	115	43	91	219	94.197	5
101.032	2.000	remember	0.370	updating	restudy	1	object	face	scene	target	object	target	remember	16	5	20	68	168	20	101.011	15
107.814	2.000	remember	0.444	updating	retprac	2	scene	object	face	target	scene	other	forget	17	5	89	137	289	141	107.794	8
